publication_date,keywords_count
2012-03-01,2
2012-03-02,1
2012-03-03,2
2012-03-04,3
2012-03-05,4
2012-03-06,4
2012-03-07,2
2012-03-09,2
2012-03-10,4
2012-03-13,2
2012-03-14,3
2012-03-16,3
2012-03-17,10
2012-03-18,1
2012-03-19,6
2012-03-21,8
2012-03-22,3
2012-03-23,10
2012-03-24,3
2012-03-25,2
2012-03-26,2
2012-03-28,2
2012-03-30,3
2012-03-31,8
2012-04-01,4
2012-04-02,5
2012-04-03,6
2012-04-04,5
2012-04-05,4
2012-04-06,6
2012-04-07,2
2012-04-08,1
2012-04-09,2
2012-04-10,2
2012-04-11,2
2012-04-12,4
2012-04-13,4
2012-04-14,4
2012-04-16,3
2012-04-17,2
2012-04-18,3
2012-04-19,6
2012-04-20,2
2012-04-21,10
2012-04-23,4
2012-04-24,2
2012-04-25,8
2012-04-26,3
2012-04-27,8
2012-04-28,3
2012-04-30,4
2012-05-01,2
2012-05-02,2
2012-05-03,2
2012-05-04,5
2012-05-05,4
2012-05-08,1
2012-05-09,4
2012-05-10,3
2012-05-11,8
2012-05-12,4
2012-05-16,2
2012-05-17,14
2012-05-18,1
2012-05-19,10
2012-05-20,1
2012-05-21,2
2012-05-22,3
2012-05-23,14
2012-05-24,3
2012-05-25,4
2012-05-26,3
2012-05-27,2
2012-05-28,2
2012-05-29,6
2012-05-30,1
2012-05-31,10
2012-06-01,4
2012-06-02,2
2012-06-04,1
2012-06-05,4
2012-06-06,1
2012-06-07,10
2012-06-08,2
2012-06-09,8
2012-06-11,8
2012-06-13,4
2012-06-14,2
2012-06-15,8
2012-06-16,7
2012-06-17,14
2012-06-18,2
2012-06-19,4
2012-06-20,1
2012-06-21,4
2012-06-22,6
2012-06-23,10
2012-06-25,2
2012-06-27,2
2012-06-28,2
2012-06-29,4
2012-06-30,1
2012-07-02,2
2012-07-04,1
2012-07-05,2
2012-07-07,2
2012-07-10,1
2012-07-11,6
2012-07-12,5
2012-07-13,6
2012-07-14,1
2012-07-16,1
2012-07-17,2
2012-07-19,2
2012-07-21,2
2012-07-23,8
2012-07-25,6
2012-07-30,3
2012-07-31,4
2012-08-01,2
