,publication_date,keywords_count
0,2008-03-01,1
1,2008-03-02,1
2,2008-03-03,2
3,2008-03-05,4
4,2008-03-06,1
5,2008-03-07,2
6,2008-03-09,8
7,2008-03-10,2
8,2008-03-11,4
9,2008-03-12,6
10,2008-03-13,2
11,2008-03-15,2
12,2008-03-16,4
13,2008-03-17,2
14,2008-03-18,2
15,2008-03-19,10
16,2008-03-20,4
17,2008-03-21,2
18,2008-03-22,2
19,2008-03-23,4
20,2008-03-24,1
21,2008-03-25,2
22,2008-03-27,2
23,2008-03-28,2
24,2008-03-29,2
25,2008-03-30,3
26,2008-03-31,2
27,2008-04-01,4
28,2008-04-04,4
29,2008-04-06,5
30,2008-04-13,2
31,2008-04-14,3
32,2008-04-16,1
33,2008-04-17,2
34,2008-04-18,2
35,2008-04-20,3
36,2008-04-21,2
37,2008-04-22,2
38,2008-04-24,3
39,2008-04-25,2
40,2008-04-26,3
41,2008-04-27,6
42,2008-04-28,2
43,2008-04-29,6
44,2008-04-30,3
45,2008-05-01,4
46,2008-05-03,2
47,2008-05-04,3
48,2008-05-06,3
49,2008-05-10,4
50,2008-05-11,6
51,2008-05-13,8
52,2008-05-14,1
53,2008-05-15,2
54,2008-05-16,1
55,2008-05-17,4
56,2008-05-18,4
57,2008-05-22,2
58,2008-05-23,2
59,2008-05-25,10
60,2008-05-27,4
61,2008-05-29,4
62,2008-05-30,1
63,2008-06-01,2
64,2008-06-02,1
65,2008-06-03,2
66,2008-06-05,4
67,2008-06-06,1
68,2008-06-07,2
69,2008-06-08,2
70,2008-06-09,2
71,2008-06-11,2
72,2008-06-12,1
73,2008-06-13,2
74,2008-06-15,2
75,2008-06-16,2
76,2008-06-17,2
77,2008-06-18,1
78,2008-06-19,2
79,2008-06-20,3
80,2008-06-21,2
81,2008-06-22,1
82,2008-06-23,4
83,2008-06-24,1
84,2008-06-27,4
85,2008-06-28,1
86,2008-06-30,1
87,2008-07-01,6
88,2008-07-05,2
89,2008-07-06,2
90,2008-07-07,2
91,2008-07-08,1
92,2008-07-10,2
93,2008-07-11,2
94,2008-07-12,1
95,2008-07-13,2
96,2008-07-14,1
97,2008-07-15,2
98,2008-07-16,2
99,2008-07-17,2
100,2008-07-18,1
101,2008-07-19,2
102,2008-07-20,2
103,2008-07-21,2
104,2008-07-23,2
105,2008-07-25,2
106,2008-07-27,10
107,2008-07-28,1
108,2008-07-29,4
109,2008-07-30,1
110,2008-08-01,2
0,2012-03-01,2
1,2012-03-02,1
2,2012-03-03,2
3,2012-03-04,3
4,2012-03-05,4
5,2012-03-06,4
6,2012-03-07,2
7,2012-03-09,2
8,2012-03-10,4
9,2012-03-13,2
10,2012-03-14,3
11,2012-03-16,3
12,2012-03-17,10
13,2012-03-18,1
14,2012-03-19,6
15,2012-03-21,8
16,2012-03-22,3
17,2012-03-23,10
18,2012-03-24,3
19,2012-03-25,2
20,2012-03-26,2
21,2012-03-28,2
22,2012-03-30,3
23,2012-03-31,8
24,2012-04-01,4
25,2012-04-02,5
26,2012-04-03,6
27,2012-04-04,5
28,2012-04-05,4
29,2012-04-06,6
30,2012-04-07,2
31,2012-04-08,1
32,2012-04-09,2
33,2012-04-10,2
34,2012-04-11,2
35,2012-04-12,4
36,2012-04-13,4
37,2012-04-14,4
38,2012-04-16,3
39,2012-04-17,2
40,2012-04-18,3
41,2012-04-19,6
42,2012-04-20,2
43,2012-04-21,10
44,2012-04-23,4
45,2012-04-24,2
46,2012-04-25,8
47,2012-04-26,3
48,2012-04-27,8
49,2012-04-28,3
50,2012-04-30,4
51,2012-05-01,2
52,2012-05-02,2
53,2012-05-03,2
54,2012-05-04,5
