,publication_date,keywords_count
0,2008-03-01,319
1,2008-03-02,658
2,2008-03-03,586
3,2008-03-04,436
4,2008-03-05,810
5,2008-03-06,378
6,2008-03-07,656
7,2008-03-08,254
8,2008-03-09,1246
9,2008-03-10,228
10,2008-03-11,766
11,2008-03-12,526
12,2008-03-13,698
13,2008-03-14,314
14,2008-03-15,548
15,2008-03-16,615
16,2008-03-17,672
17,2008-03-18,423
18,2008-03-19,700
19,2008-03-20,365
20,2008-03-21,684
21,2008-03-22,246
22,2008-03-23,1136
23,2008-03-24,246
24,2008-03-25,600
25,2008-03-26,392
26,2008-03-27,792
27,2008-03-28,329
28,2008-03-29,548
29,2008-03-30,658
30,2008-03-31,608
31,2008-04-01,848
32,2008-04-02,395
33,2008-04-03,798
34,2008-04-04,314
35,2008-04-05,588
36,2008-04-06,641
37,2008-04-07,598
38,2008-04-08,390
39,2008-04-09,756
40,2008-04-10,364
41,2008-04-11,748
42,2008-04-12,278
43,2008-04-13,1306
44,2008-04-14,341
45,2008-04-15,778
46,2008-04-16,358
47,2008-04-17,776
48,2008-04-18,360
49,2008-04-19,548
50,2008-04-20,766
51,2008-04-21,706
52,2008-04-22,413
53,2008-04-23,756
54,2008-04-24,346
55,2008-04-25,554
56,2008-04-26,315
57,2008-04-27,1272
58,2008-04-28,281
59,2008-04-29,700
60,2008-04-30,406
61,2008-05-01,894
62,2008-05-02,327
63,2008-05-03,660
64,2008-05-04,600
65,2008-05-05,664
66,2008-05-06,418
67,2008-05-07,782
68,2008-05-08,423
69,2008-05-09,690
70,2008-05-10,253
71,2008-05-11,1216
72,2008-05-12,307
73,2008-05-13,866
74,2008-05-14,333
75,2008-05-15,764
76,2008-05-16,319
77,2008-05-17,626
78,2008-05-18,654
79,2008-05-19,624
80,2008-05-20,447
81,2008-05-21,872
82,2008-05-22,421
83,2008-05-23,720
84,2008-05-24,279
85,2008-05-25,1290
86,2008-05-26,284
87,2008-05-27,722
88,2008-05-28,294
89,2008-05-29,684
90,2008-05-30,333
91,2008-05-31,652
92,2008-06-01,1446
93,2008-06-02,295
94,2008-06-03,842
95,2008-06-04,374
96,2008-06-05,814
97,2008-06-06,386
98,2008-06-07,622
99,2008-06-08,625
100,2008-06-09,614
101,2008-06-10,367
102,2008-06-11,766
103,2008-06-12,329
104,2008-06-13,722
105,2008-06-14,280
106,2008-06-15,1252
107,2008-06-16,274
108,2008-06-17,782
109,2008-06-18,318
110,2008-06-19,752
111,2008-06-20,336
112,2008-06-21,630
113,2008-06-22,616
114,2008-06-23,568
115,2008-06-24,363
116,2008-06-25,772
117,2008-06-26,314
118,2008-06-27,714
119,2008-06-28,274
120,2008-06-29,1336
121,2008-06-30,280
122,2008-07-01,820
123,2008-07-02,426
124,2008-07-03,710
125,2008-07-04,259
126,2008-07-05,518
127,2008-07-06,560
128,2008-07-07,628
129,2008-07-08,359
130,2008-07-09,732
131,2008-07-10,288
132,2008-07-11,666
133,2008-07-12,287
134,2008-07-13,1244
135,2008-07-14,310
136,2008-07-15,724
137,2008-07-16,362
138,2008-07-17,772
139,2008-07-18,299
140,2008-07-19,602
141,2008-07-20,586
142,2008-07-21,648
143,2008-07-22,418
144,2008-07-23,784
145,2008-07-24,411
146,2008-07-25,706
147,2008-07-26,298
148,2008-07-27,1370
149,2008-07-28,309
150,2008-07-29,732
151,2008-07-30,313
152,2008-07-31,708
153,2008-08-01,309
0,2012-03-01,530
1,2012-03-02,658
2,2012-03-03,804
3,2012-03-04,213
4,2012-03-05,1090
5,2012-03-06,509
6,2012-03-07,1144
7,2012-03-08,604
8,2012-03-09,1306
9,2012-03-10,455
10,2012-03-11,402
11,2012-03-12,567
12,2012-03-13,1074
13,2012-03-14,624
14,2012-03-15,1142
15,2012-03-16,742
16,2012-03-17,826
17,2012-03-18,277
18,2012-03-19,944
19,2012-03-20,549
20,2012-03-21,1188
21,2012-03-22,654
22,2012-03-23,1328
23,2012-03-24,443
24,2012-03-25,490
25,2012-03-26,535
26,2012-03-27,960
27,2012-03-28,545
28,2012-03-29,1184
29,2012-03-30,602
30,2012-03-31,824
31,2012-04-01,452
32,2012-04-02,470
33,2012-04-03,1118
34,2012-04-04,657
35,2012-04-05,1268
36,2012-04-06,620
37,2012-04-07,890
38,2012-04-08,218
39,2012-04-09,914
40,2012-04-10,462
41,2012-04-11,992
42,2012-04-12,574
43,2012-04-13,1322
44,2012-04-14,390
45,2012-04-15,480
46,2012-04-16,507
47,2012-04-17,950
48,2012-04-18,576
49,2012-04-19,1216
50,2012-04-20,613
51,2012-04-21,724
52,2012-04-22,208
53,2012-04-23,1048
54,2012-04-24,516
55,2012-04-25,1138
56,2012-04-26,637
57,2012-04-27,1444
58,2012-04-28,428
59,2012-04-29,422
60,2012-04-30,539
61,2012-05-01,1204
62,2012-05-02,655
63,2012-05-03,1256
64,2012-05-04,709
65,2012-05-05,886
66,2012-05-06,249
67,2012-05-07,1002
68,2012-05-08,495
69,2012-05-09,1166
70,2012-05-10,593
71,2012-05-11,1220
72,2012-05-12,364
73,2012-05-13,366
74,2012-05-14,496
75,2012-05-15,1004
76,2012-05-16,573
77,2012-05-17,1288
78,2012-05-18,552
79,2012-05-19,854
80,2012-05-20,236
81,2012-05-21,1124
82,2012-05-22,465
83,2012-05-23,1194
84,2012-05-24,578
85,2012-05-25,1216
86,2012-05-26,434
87,2012-05-27,448
88,2012-05-28,344
89,2012-05-29,880
90,2012-05-30,653
91,2012-05-31,1154
92,2012-06-01,1398
93,2012-06-02,406
94,2012-06-03,516
95,2012-06-04,584
96,2012-06-05,1074
97,2012-06-06,567
98,2012-06-07,1228
99,2012-06-08,629
100,2012-06-09,922
101,2012-06-10,278
102,2012-06-11,1054
103,2012-06-12,576
104,2012-06-13,1150
105,2012-06-14,593
106,2012-06-15,1158
107,2012-06-16,412
108,2012-06-17,376
109,2012-06-18,559
110,2012-06-19,984
111,2012-06-20,547
112,2012-06-21,1200
113,2012-06-22,672
114,2012-06-23,858
115,2012-06-24,253
116,2012-06-25,906
117,2012-06-26,490
118,2012-06-27,1210
119,2012-06-28,670
120,2012-06-29,1348
121,2012-06-30,407
122,2012-07-01,500
123,2012-07-02,532
124,2012-07-03,982
125,2012-07-04,389
126,2012-07-05,994
127,2012-07-06,561
128,2012-07-07,768
129,2012-07-08,203
130,2012-07-09,914
131,2012-07-10,447
132,2012-07-11,946
133,2012-07-12,536
134,2012-07-13,1144
135,2012-07-14,345
136,2012-07-15,410
137,2012-07-16,464
138,2012-07-17,1010
139,2012-07-18,547
140,2012-07-19,1334
141,2012-07-20,529
142,2012-07-21,732
143,2012-07-22,219
144,2012-07-23,1032
145,2012-07-24,544
146,2012-07-25,1074
147,2012-07-26,521
148,2012-07-27,1038
149,2012-07-28,355
150,2012-07-29,408
151,2012-07-30,426
152,2012-07-31,988
153,2012-08-01,504
0,2016-03-01,416
1,2016-03-02,434
2,2016-03-03,934
3,2016-03-04,523
4,2016-03-05,396
5,2016-03-06,169
6,2016-03-07,876
7,2016-03-08,350
8,2016-03-09,836
9,2016-03-10,440
10,2016-03-11,952
11,2016-03-12,221
12,2016-03-13,286
13,2016-03-14,376
14,2016-03-15,920
15,2016-03-16,471
16,2016-03-17,866
17,2016-03-18,451
18,2016-03-19,426
19,2016-03-20,153
20,2016-03-21,786
21,2016-03-22,409
22,2016-03-23,788
23,2016-03-24,425
24,2016-03-25,782
25,2016-03-26,186
26,2016-03-27,256
27,2016-03-28,308
28,2016-03-29,670
29,2016-03-30,414
30,2016-03-31,796
31,2016-04-01,896
32,2016-04-02,179
33,2016-04-03,302
34,2016-04-04,395
35,2016-04-05,758
36,2016-04-06,447
37,2016-04-07,884
38,2016-04-08,430
39,2016-04-09,514
40,2016-04-10,162
41,2016-04-11,672
42,2016-04-12,306
43,2016-04-13,806
44,2016-04-14,503
45,2016-04-15,868
46,2016-04-16,213
47,2016-04-17,328
48,2016-04-18,387
49,2016-04-19,664
50,2016-04-20,424
51,2016-04-21,900
52,2016-04-22,480
53,2016-04-23,416
54,2016-04-24,165
55,2016-04-25,684
56,2016-04-26,355
57,2016-04-27,836
58,2016-04-28,465
59,2016-04-29,830
60,2016-04-30,225
61,2016-05-01,312
62,2016-05-02,349
63,2016-05-03,808
64,2016-05-04,387
65,2016-05-05,1004
66,2016-05-06,430
67,2016-05-07,448
68,2016-05-08,150
69,2016-05-09,726
70,2016-05-10,368
71,2016-05-11,858
72,2016-05-12,486
73,2016-05-13,834
74,2016-05-14,215
75,2016-05-15,356
76,2016-05-16,324
77,2016-05-17,664
78,2016-05-18,427
79,2016-05-19,886
80,2016-05-20,476
81,2016-05-21,402
82,2016-05-22,150
83,2016-05-23,704
84,2016-05-24,345
85,2016-05-25,870
86,2016-05-26,403
87,2016-05-27,850
88,2016-05-28,170
89,2016-05-29,406
90,2016-05-30,230
91,2016-05-31,626
92,2016-06-01,926
93,2016-06-02,395
94,2016-06-03,780
95,2016-06-04,228
96,2016-06-05,264
97,2016-06-06,322
98,2016-06-07,760
99,2016-06-08,406
100,2016-06-09,854
101,2016-06-10,436
102,2016-06-11,520
103,2016-06-12,206
104,2016-06-13,684
105,2016-06-14,373
106,2016-06-15,778
107,2016-06-16,414
108,2016-06-17,902
109,2016-06-18,256
110,2016-06-19,442
111,2016-06-20,368
112,2016-06-21,680
113,2016-06-22,428
114,2016-06-23,928
115,2016-06-24,527
116,2016-06-25,572
117,2016-06-26,201
118,2016-06-27,750
119,2016-06-28,343
120,2016-06-29,820
121,2016-06-30,428
122,2016-07-01,832
123,2016-07-02,205
124,2016-07-03,348
125,2016-07-04,255
126,2016-07-05,632
127,2016-07-06,419
128,2016-07-07,796
129,2016-07-08,439
130,2016-07-09,408
131,2016-07-10,187
132,2016-07-11,586
133,2016-07-12,336
134,2016-07-13,722
135,2016-07-14,420
136,2016-07-15,918
137,2016-07-16,245
138,2016-07-17,358
139,2016-07-18,342
140,2016-07-19,676
141,2016-07-20,376
142,2016-07-21,912
143,2016-07-22,380
144,2016-07-23,414
145,2016-07-24,179
146,2016-07-25,748
147,2016-07-26,326
148,2016-07-27,872
149,2016-07-28,353
150,2016-07-29,870
151,2016-07-30,207
152,2016-07-31,306
153,2016-08-01,308
0,2020-03-01,88
1,2020-03-02,174
2,2020-03-03,385
3,2020-03-04,236
4,2020-03-05,579
5,2020-03-06,203
6,2020-03-07,153
7,2020-03-08,91
8,2020-03-09,308
9,2020-03-10,217
10,2020-03-11,427
11,2020-03-12,267
12,2020-03-13,459
13,2020-03-14,123
14,2020-03-15,174
15,2020-03-16,166
16,2020-03-17,478
17,2020-03-18,239
18,2020-03-19,394
19,2020-03-20,211
20,2020-03-21,183
21,2020-03-22,62
22,2020-03-23,282
23,2020-03-24,188
24,2020-03-25,421
25,2020-03-26,260
26,2020-03-27,380
27,2020-03-28,114
28,2020-03-29,140
29,2020-03-30,176
30,2020-03-31,302
31,2020-04-01,240
32,2020-04-02,185
33,2020-04-03,375
34,2020-04-04,60
35,2020-04-05,150
36,2020-04-06,145
37,2020-04-07,398
38,2020-04-08,174
39,2020-04-09,479
40,2020-04-10,165
41,2020-04-11,160
42,2020-04-12,75
43,2020-04-13,399
44,2020-04-14,215
45,2020-04-15,423
46,2020-04-16,239
47,2020-04-17,523
48,2020-04-18,95
49,2020-04-19,173
50,2020-04-20,161
51,2020-04-21,467
52,2020-04-22,257
53,2020-04-23,383
54,2020-04-24,174
55,2020-04-25,157
56,2020-04-26,76
57,2020-04-27,282
58,2020-04-28,200
59,2020-04-29,344
60,2020-04-30,209
61,2020-05-01,278
62,2020-05-02,91
63,2020-05-03,124
64,2020-05-04,119
65,2020-05-05,300
66,2020-05-06,197
67,2020-05-07,514
68,2020-05-08,191
69,2020-05-09,119
70,2020-05-10,64
71,2020-05-11,354
72,2020-05-12,169
73,2020-05-13,399
74,2020-05-14,182
75,2020-05-15,402
76,2020-05-16,87
77,2020-05-17,89
78,2020-05-18,176
79,2020-05-19,350
80,2020-05-20,223
81,2020-05-21,325
82,2020-05-22,178
83,2020-05-23,219
84,2020-05-24,52
85,2020-05-25,187
86,2020-05-26,148
87,2020-05-27,291
88,2020-05-28,245
89,2020-05-29,343
90,2020-05-30,50
91,2020-05-31,214
92,2020-06-01,124
93,2020-06-02,156
94,2020-06-03,333
95,2020-06-04,165
96,2020-06-05,286
97,2020-06-06,93
98,2020-06-07,91
99,2020-06-08,112
100,2020-06-09,323
101,2020-06-10,168
102,2020-06-11,406
103,2020-06-12,168
104,2020-06-13,130
105,2020-06-14,44
106,2020-06-15,313
107,2020-06-16,175
108,2020-06-17,372
109,2020-06-18,209
110,2020-06-19,344
111,2020-06-20,79
112,2020-06-21,122
113,2020-06-22,144
114,2020-06-23,427
115,2020-06-24,216
116,2020-06-25,366
117,2020-06-26,203
118,2020-06-27,130
119,2020-06-28,51
120,2020-06-29,369
121,2020-06-30,205
122,2020-07-01,198
123,2020-07-02,236
124,2020-07-03,302
125,2020-07-04,62
126,2020-07-05,92
127,2020-07-06,158
128,2020-07-07,452
129,2020-07-08,235
130,2020-07-09,436
131,2020-07-10,250
132,2020-07-11,170
133,2020-07-12,65
134,2020-07-13,276
135,2020-07-14,170
136,2020-07-15,332
137,2020-07-16,250
138,2020-07-17,312
139,2020-07-18,69
140,2020-07-19,150
141,2020-07-20,152
142,2020-07-21,380
143,2020-07-22,199
144,2020-07-23,426
145,2020-07-24,264
146,2020-07-25,184
147,2020-07-26,55
148,2020-07-27,324
149,2020-07-28,217
150,2020-07-29,302
151,2020-07-30,237
152,2020-07-31,416
153,2020-08-01,6
