,publication_date,keywords_count
0,2008-03-01,61
1,2008-03-02,147
2,2008-03-03,88
3,2008-03-04,70
4,2008-03-05,160
5,2008-03-06,70
6,2008-03-07,144
7,2008-03-08,46
8,2008-03-09,232
9,2008-03-10,44
10,2008-03-11,100
11,2008-03-12,59
12,2008-03-13,92
13,2008-03-14,43
14,2008-03-15,108
15,2008-03-16,97
16,2008-03-17,90
17,2008-03-18,63
18,2008-03-19,120
19,2008-03-20,55
20,2008-03-21,126
21,2008-03-22,38
22,2008-03-23,196
23,2008-03-24,37
24,2008-03-25,114
25,2008-03-26,60
26,2008-03-27,100
27,2008-03-28,50
28,2008-03-29,74
29,2008-03-30,93
30,2008-03-31,76
31,2008-04-01,94
32,2008-04-02,44
33,2008-04-03,112
34,2008-04-04,50
35,2008-04-05,88
36,2008-04-06,121
37,2008-04-07,78
38,2008-04-08,46
39,2008-04-09,80
40,2008-04-10,45
41,2008-04-11,102
42,2008-04-12,52
43,2008-04-13,202
44,2008-04-14,52
45,2008-04-15,116
46,2008-04-16,63
47,2008-04-17,116
48,2008-04-18,56
49,2008-04-19,82
50,2008-04-20,132
51,2008-04-21,122
52,2008-04-22,65
53,2008-04-23,124
54,2008-04-24,72
55,2008-04-25,86
56,2008-04-26,48
57,2008-04-27,240
58,2008-04-28,44
59,2008-04-29,90
60,2008-04-30,58
61,2008-05-01,162
62,2008-05-02,75
63,2008-05-03,112
64,2008-05-04,117
65,2008-05-05,104
66,2008-05-06,65
67,2008-05-07,134
68,2008-05-08,61
69,2008-05-09,88
70,2008-05-10,55
71,2008-05-11,276
72,2008-05-12,45
73,2008-05-13,102
74,2008-05-14,60
75,2008-05-15,96
76,2008-05-16,57
77,2008-05-17,124
78,2008-05-18,115
79,2008-05-19,88
80,2008-05-20,50
81,2008-05-21,120
82,2008-05-22,57
83,2008-05-23,102
84,2008-05-24,35
85,2008-05-25,214
86,2008-05-26,41
87,2008-05-27,120
88,2008-05-28,56
89,2008-05-29,114
90,2008-05-30,54
91,2008-05-31,90
92,2008-06-01,276
93,2008-06-02,74
94,2008-06-03,120
95,2008-06-04,56
96,2008-06-05,136
97,2008-06-06,57
98,2008-06-07,112
99,2008-06-08,124
100,2008-06-09,100
101,2008-06-10,35
102,2008-06-11,106
103,2008-06-12,54
104,2008-06-13,94
105,2008-06-14,40
106,2008-06-15,222
107,2008-06-16,40
108,2008-06-17,102
109,2008-06-18,43
110,2008-06-19,90
111,2008-06-20,47
112,2008-06-21,104
113,2008-06-22,108
114,2008-06-23,64
115,2008-06-24,44
116,2008-06-25,104
117,2008-06-26,48
118,2008-06-27,92
119,2008-06-28,53
120,2008-06-29,174
121,2008-06-30,36
122,2008-07-01,114
123,2008-07-02,54
124,2008-07-03,76
125,2008-07-04,28
126,2008-07-05,72
127,2008-07-06,98
128,2008-07-07,128
129,2008-07-08,50
130,2008-07-09,80
131,2008-07-10,41
132,2008-07-11,82
133,2008-07-12,42
134,2008-07-13,208
135,2008-07-14,47
136,2008-07-15,62
137,2008-07-16,51
138,2008-07-17,82
139,2008-07-18,39
140,2008-07-19,100
141,2008-07-20,95
142,2008-07-21,88
143,2008-07-22,41
144,2008-07-23,108
145,2008-07-24,40
146,2008-07-25,80
147,2008-07-26,57
148,2008-07-27,200
149,2008-07-28,47
150,2008-07-29,110
151,2008-07-30,36
152,2008-07-31,92
153,2008-08-01,46
0,2012-03-01,110
1,2012-03-02,158
2,2012-03-03,198
3,2012-03-04,54
4,2012-03-05,220
5,2012-03-06,126
6,2012-03-07,278
7,2012-03-08,122
8,2012-03-09,324
9,2012-03-10,93
10,2012-03-11,72
11,2012-03-12,88
12,2012-03-13,204
13,2012-03-14,120
14,2012-03-15,222
15,2012-03-16,146
16,2012-03-17,194
17,2012-03-18,46
18,2012-03-19,190
19,2012-03-20,98
20,2012-03-21,272
21,2012-03-22,132
22,2012-03-23,262
23,2012-03-24,95
24,2012-03-25,96
25,2012-03-26,95
26,2012-03-27,150
27,2012-03-28,88
28,2012-03-29,188
29,2012-03-30,136
30,2012-03-31,202
31,2012-04-01,48
32,2012-04-02,86
33,2012-04-03,246
34,2012-04-04,110
35,2012-04-05,220
36,2012-04-06,125
37,2012-04-07,198
38,2012-04-08,25
39,2012-04-09,158
40,2012-04-10,95
41,2012-04-11,196
42,2012-04-12,128
43,2012-04-13,270
44,2012-04-14,82
45,2012-04-15,58
46,2012-04-16,97
47,2012-04-17,146
48,2012-04-18,94
49,2012-04-19,220
50,2012-04-20,127
51,2012-04-21,164
52,2012-04-22,30
53,2012-04-23,172
54,2012-04-24,90
55,2012-04-25,156
56,2012-04-26,109
57,2012-04-27,292
58,2012-04-28,82
59,2012-04-29,76
60,2012-04-30,82
61,2012-05-01,164
62,2012-05-02,83
63,2012-05-03,216
64,2012-05-04,136
65,2012-05-05,162
66,2012-05-06,36
67,2012-05-07,140
68,2012-05-08,109
69,2012-05-09,176
70,2012-05-10,108
71,2012-05-11,280
72,2012-05-12,70
73,2012-05-13,48
74,2012-05-14,50
75,2012-05-15,148
76,2012-05-16,93
77,2012-05-17,214
78,2012-05-18,100
79,2012-05-19,170
80,2012-05-20,27
81,2012-05-21,150
82,2012-05-22,65
83,2012-05-23,176
84,2012-05-24,101
85,2012-05-25,206
86,2012-05-26,65
87,2012-05-27,68
88,2012-05-28,42
89,2012-05-29,114
90,2012-05-30,85
91,2012-05-31,178
92,2012-06-01,310
93,2012-06-02,74
94,2012-06-03,46
95,2012-06-04,77
96,2012-06-05,180
97,2012-06-06,81
98,2012-06-07,238
99,2012-06-08,107
100,2012-06-09,132
101,2012-06-10,39
102,2012-06-11,118
103,2012-06-12,69
104,2012-06-13,156
105,2012-06-14,93
106,2012-06-15,272
107,2012-06-16,68
108,2012-06-17,38
109,2012-06-18,79
110,2012-06-19,170
111,2012-06-20,77
112,2012-06-21,208
113,2012-06-22,103
114,2012-06-23,132
115,2012-06-24,31
116,2012-06-25,122
117,2012-06-26,70
118,2012-06-27,156
119,2012-06-28,100
120,2012-06-29,214
121,2012-06-30,65
122,2012-07-01,48
123,2012-07-02,52
124,2012-07-03,116
125,2012-07-04,55
126,2012-07-05,152
127,2012-07-06,92
128,2012-07-07,110
129,2012-07-08,19
130,2012-07-09,126
131,2012-07-10,79
132,2012-07-11,148
133,2012-07-12,107
134,2012-07-13,222
135,2012-07-14,63
136,2012-07-15,70
137,2012-07-16,60
138,2012-07-17,162
139,2012-07-18,81
140,2012-07-19,204
141,2012-07-20,92
142,2012-07-21,124
143,2012-07-22,22
144,2012-07-23,104
145,2012-07-24,76
