,month,combined
Coronavirus (2019-nCoV),7,1041.0
Books and Literature,7,258.0
Real Estate and Housing (Residential),7,172.0
Presidential Election of 2020,7,379.0
Elections,7,138.0
Movies,7,170.0
United States Politics and Government,7,357.0
"Trump, Donald J",7,256.0
Art,7,133.0
George Floyd Protests (2020),7,166.0
Television,7,133.0
Deaths (Obituaries),7,182.0
United States Economy,7,122.0
Baseball,7,59.0
Theater,7,57.0
Politics and Government,7,136.0
New York City,7,65.0
Coronavirus Reopenings,7,292.0
Quarantine (Life and Culture),7,103.0
Black People,7,175.0
Soccer,7,41.0
Education (K-12),7,97.0
Global Warming,7,55.0
United States International Relations,7,63.0
Social Media,7,79.0
your-feed-science,7,34.0
Music,7,53.0
"Demonstrations, Protests and Riots",7,89.0
Coronavirus Risks and Safety Concerns,7,82.0
Pop and Rock Music,7,45.0
Fashion and Apparel,7,54.0
Race and Ethnicity,7,89.0
Computers and the Internet,7,75.0
Masks,7,105.0
"Murders, Attempted Murders and Homicides",7,62.0
"Biden, Joseph R Jr",7,77.0
Cooking and Cookbooks,7,37.0
Basketball,7,33.0
Colleges and Universities,7,58.0
United States Defense and Military Forces,7,52.0
Football,7,32.0
China,7,70.0
Supreme Court (US),7,44.0
News and News Media,7,55.0
Documentary Films and Programs,7,39.0
Russian Interference in 2016 US Elections and Ties to Trump Associates,7,21.0
Police Reform,7,21.0
Monuments and Memorials (Structures),7,31.0
"Hockey, Ice",7,20.0
"Police Brutality, Misconduct and Shootings",7,66.0
Dancing,7,30.0
Content Type: Service,7,41.0
Shutdowns (Institutional),7,64.0
Rap and Hip-Hop,7,29.0
Disease Rates,7,69.0
Restaurants,7,30.0
Women and Girls,7,66.0
Golf,7,18.0
Love (Emotion),7,16.0
"Elections, Senate",7,28.0
Immigration and Emigration,7,31.0
California,7,28.0
Tests (Medical),7,60.0
Travel and Vacations,7,46.0
Children and Childhood,7,55.0
Crossword Puzzles,7,14.0
Weddings and Engagements,7,14.0
Banking and Financial Institutions,7,14.0
Shopping and Retail,7,23.0
Afghanistan War (2001- ),7,22.0
Black Lives Matter Movement,7,112.0
Floods,7,13.0
Disabilities,7,27.0
"Names, Organizational",7,13.0
Mars (Planet),7,13.0
Federal-State Relations (US),7,22.0
Independence Day (US) (July 4),7,12.0
"Colbert, Stephen",7,12.0
Russia,7,12.0
AIRLINES AND AIRPLANES,7,22.0
Terrorism,7,11.0
Opera,7,11.0
Museums,7,31.0
Discrimination,7,58.0
"Coronavirus Aid, Relief, and Economic Security Act (2020)",7,51.0
Suits and Litigation (Civil),7,36.0
Writing and Writers,7,32.0
Human Rights and Human Rights Violations,7,20.0
Workplace Hazards and Violations,7,18.0
Hurricanes and Tropical Storms,7,10.0
Newspapers,7,26.0
Labor and Jobs,7,46.0
Facebook Inc,7,10.0
Polls and Public Opinion,7,37.0
Quarantines,7,83.0
Wines,7,10.0
Classical Music,7,9.0
"Fauci, Anthony S",7,9.0
Hong Kong,7,21.0
Stocks and Bonds,7,21.0
Blacks,7,123.0
Vaccination and Immunization,7,24.0
Parenting,7,37.0
Deaths (Fatalities),7,35.0
Environment,7,18.0
Defense and Military Forces,7,17.0
Real Estate (Commercial),7,16.0
Layoffs and Job Reductions,7,37.0
Decisions and Verdicts,7,23.0
"Fallon, Jimmy",7,13.0
Contact Tracing (Public Health),7,12.0
Dating and Relationships,7,23.0
Renting and Leasing (Real Estate),7,12.0
ACTORS AND ACTRESSES,7,11.0
Hospitals,7,20.0
Unemployment,7,11.0
Homosexuality and Bisexuality,7,11.0
Appointments and Executive Changes,7,22.0
Hong Kong Protests (2019),7,10.0
"Epstein, Jeffrey E (1953- )",7,10.0
Greenhouse Gas Emissions,7,29.0
"Video Recordings, Downloads and Streaming",7,10.0
Podcasts,7,10.0
Civil Rights and Liberties,7,10.0
International Trade and World Market,7,20.0
Stadiums and Arenas,7,9.0
Native Americans,7,9.0
Civil War (US) (1861-65),7,9.0
Sculpture,7,9.0
Absentee Voting,7,9.0
Stimulus (Economic),7,22.0
Portland (Ore),7,22.0
Antitrust Laws and Competition Issues,7,18.0
Primaries and Caucuses,7,114.0
United States,7,22.0
Law and Legislation,7,18.0
Mobile Applications,7,14.0
Civil Rights Movement (1954-68),7,14.0
Vice Presidents and Vice Presidency (US),7,12.0
E-Learning,7,12.0
Income Inequality,7,12.0
Drugs (Pharmaceuticals),7,11.0
"Elections, House of Representatives",7,11.0
Space and Astronomy,7,10.0
Fox News Channel,7,10.0
Research,7,10.0
AMAZON.COM INC,7,10.0
Manhattan (NYC),7,10.0
Prisons and Prisoners,7,10.0
Muslims and Islam,7,10.0
Democratic Party,7,9.0
France,7,9.0
Jazz,7,9.0
Sex Crimes,7,9.0
States (US),7,9.0
Republican Party,7,9.0
New York Times,7,9.0
Shortages,7,8.0
Homeland Security Department,7,8.0
"Lewis, John R",7,8.0
Food,7,8.0
South Korea,7,8.0
