publication_date,keywords_count
2016-03-01,144
2016-03-02,214
2016-03-03,364
2016-03-04,194
2016-03-05,136
2016-03-06,55
2016-03-07,232
2016-03-08,111
2016-03-09,234
2016-03-10,135
2016-03-11,320
2016-03-12,87
2016-03-13,112
2016-03-14,109
2016-03-15,266
2016-03-16,190
2016-03-17,240
2016-03-18,117
2016-03-19,116
2016-03-20,39
2016-03-21,216
2016-03-22,118
2016-03-23,220
2016-03-24,120
2016-03-25,240
2016-03-26,58
2016-03-27,58
2016-03-28,97
2016-03-29,266
2016-03-30,116
2016-03-31,256
2016-04-01,232
2016-04-02,63
2016-04-03,54
2016-04-04,98
2016-04-05,236
2016-04-06,103
2016-04-07,244
2016-04-08,120
2016-04-09,162
2016-04-10,32
2016-04-11,142
2016-04-12,85
2016-04-13,248
2016-04-14,144
2016-04-15,270
2016-04-16,53
2016-04-17,78
2016-04-18,98
2016-04-19,198
2016-04-20,124
2016-04-21,244
2016-04-22,112
2016-04-23,104
2016-04-24,34
2016-04-25,146
2016-04-26,105
2016-04-27,262
2016-04-28,124
2016-04-29,280
2016-04-30,53
2016-05-01,72
2016-05-02,94
2016-05-03,202
2016-05-04,99
2016-05-05,270
2016-05-06,127
2016-05-07,126
2016-05-08,51
2016-05-09,186
2016-05-10,114
2016-05-11,224
2016-05-12,104
2016-05-13,260
2016-05-14,37
2016-05-15,58
2016-05-16,81
2016-05-17,212
2016-05-18,98
2016-05-19,240
2016-05-20,127
2016-05-21,88
2016-05-22,28
2016-05-23,130
2016-05-24,82
2016-05-25,154
2016-05-26,113
2016-05-27,196
2016-05-28,44
2016-05-29,44
2016-05-30,38
2016-05-31,110
2016-06-01,208
2016-06-02,107
2016-06-03,172
2016-06-04,54
2016-06-05,54
2016-06-06,89
2016-06-07,204
2016-06-08,97
2016-06-09,282
2016-06-10,118
2016-06-11,112
2016-06-12,31
2016-06-13,142
2016-06-14,105
2016-06-15,162
2016-06-16,117
2016-06-17,196
2016-06-18,44
2016-06-19,72
2016-06-20,87
2016-06-21,208
2016-06-22,72
2016-06-23,228
2016-06-24,121
2016-06-25,124
2016-06-26,34
2016-06-27,124
2016-06-28,64
2016-06-29,212
2016-06-30,98
2016-07-01,206
2016-07-02,61
2016-07-03,64
2016-07-04,66
2016-07-05,134
2016-07-06,99
2016-07-07,178
2016-07-08,125
2016-07-09,94
2016-07-10,41
2016-07-11,160
2016-07-12,88
2016-07-13,146
2016-07-14,119
2016-07-15,288
2016-07-16,85
2016-07-17,72
2016-07-18,115
2016-07-19,244
2016-07-20,140
2016-07-21,336
2016-07-22,165
2016-07-23,174
2016-07-24,44
2016-07-25,230
2016-07-26,108
2016-07-27,284
2016-07-28,139
2016-07-29,314
2016-07-30,79
2016-07-31,56
2016-08-01,101
