,Unnamed: 0,2020,2016,2012,2008,2008-16 Average,Keyword Ocurrence Change
1,United States Politics and Government,4050.0,1079.0,1452.0,1270.0,1267.0,3.196527229676401
2,"Trump, Donald J",3788.0,3050.0,26.0,8.0,1028.0,3.684824902723735
5,Primaries and Caucuses,1658.0,633.0,426.0,119.0,392.6666666666667,4.222410865874363
6,United States,1580.0,660.0,1061.0,397.0,706.0,2.237960339943343
7,Black People,1565.0,657.0,241.0,288.0,395.3333333333333,3.958684654300169
9,New York City,1512.0,1646.0,2222.0,1061.0,1643.0,0.9202678027997565
10,Politics and Government,1504.0,122.0,1267.0,1365.0,918.0,1.6383442265795207
11,Books and Literature,1471.0,1793.0,2085.0,1799.0,1892.3333333333333,0.777347190417474
13,Epidemics,1316.0,30.0,29.0,13.0,24.0,54.833333333333336
15,Elections,1270.0,200.0,981.0,512.0,564.3333333333334,2.2504430005906673
16,Shutdowns (Institutional),1265.0,49.0,51.0,34.0,44.666666666666664,28.32089552238806
17,United States Economy,1257.0,309.0,884.0,863.0,685.3333333333334,1.8341439688715953
18,Movies,1136.0,1570.0,1434.0,3.0,1002.3333333333334,1.1333555038244096
19,"Biden, Joseph R Jr",1128.0,33.0,61.0,9.0,34.333333333333336,32.85436893203883
20,Deaths (Obituaries),1111.0,749.0,726.0,729.0,734.6666666666666,1.5122504537205081
21,Television,1110.0,1446.0,1178.0,935.0,1186.3333333333333,0.9356560831694297
22,Parenting,1096.0,179.0,529.0,2.0,236.66666666666666,4.630985915492958
23,Democratic Party,1006.0,770.0,341.0,631.0,580.6666666666666,1.7324913892078073
24,Discrimination,960.0,590.0,277.0,168.0,345.0,2.782608695652174
25,Real Estate and Housing (Residential),946.0,989.0,1067.0,8.0,688.0,1.375
30,Deaths (Fatalities),850.0,232.0,305.0,4.0,180.33333333333334,4.7134935304990755
31,China,820.0,902.0,981.0,728.0,870.3333333333334,0.9421677518192263
32,Art,806.0,1207.0,1422.0,1005.0,1211.3333333333333,0.6653824986241057
33,California,790.0,321.0,309.0,267.0,299.0,2.6421404682274248
34,Computers and the Internet,772.0,582.0,1225.0,1348.0,1051.6666666666667,0.7340729001584786
37,Labor and Jobs,765.0,447.0,757.0,1.0,401.6666666666667,1.904564315352697
38,Hospitals,670.0,98.0,116.0,97.0,103.66666666666667,6.463022508038585
39,Republican Party,662.0,1478.0,928.0,343.0,916.3333333333334,0.7224445252819207
42,Cooking and Cookbooks,646.0,466.0,491.0,560.0,505.6666666666667,1.2775214238628871
45,United States International Relations,562.0,662.0,657.0,429.0,582.6666666666666,0.9645308924485126
46,New York State,536.0,484.0,835.0,576.0,631.6666666666666,0.8485488126649077
47,Theater,529.0,1093.0,1210.0,972.0,1091.6666666666667,0.4845801526717557
48,Layoffs and Job Reductions,512.0,81.0,110.0,207.0,132.66666666666666,3.8592964824120606
50,Education (K-12),507.0,376.0,524.0,3.0,301.0,1.6843853820598007
51,News and News Media,489.0,485.0,526.0,328.0,446.3333333333333,1.095593726661688
53,Research,482.0,234.0,367.0,109.0,236.66666666666666,2.036619718309859
55,Unemployment,473.0,69.0,243.0,66.0,126.0,3.753968253968254
56,Senate,463.0,271.0,515.0,331.0,372.3333333333333,1.243509400179051
57,Centers for Disease Control and Prevention,455.0,92.0,30.0,25.0,49.0,9.285714285714286
59,House of Representatives,443.0,275.0,599.0,303.0,392.3333333333333,1.129141886151232
60,Travel and Vacations,425.0,750.0,973.0,917.0,880.0,0.48295454545454547
61,Music,416.0,1481.0,1758.0,920.0,1386.3333333333333,0.30007213272421257
62,States (US),397.0,137.0,155.0,75.0,122.33333333333333,3.245231607629428
