,month,combined,xmonth
Coronavirus (2019-nCoV),7,11507.0,7
Presidential Election of 2020,7,3144.0,7
Elections,7,1128.0,7
Books and Literature,7,1098.0,7
Real Estate and Housing (Residential),7,739.0,7
Movies,7,674.0,7
Art,7,718.0,7
United States Politics and Government,7,1539.0,7
Television,7,721.0,7
Theater,7,507.0,7
United States Economy,7,976.0,7
Politics and Government,7,977.0,7
"Biden, Joseph R Jr",7,800.0,7
Cooking and Cookbooks,7,319.0,7
"Trump, Donald J",7,849.0,7
Quarantines,7,1954.0,7
"Sanders, Bernard",7,573.0,7
Banking and Financial Institutions,7,403.0,7
Shutdowns (Institutional),7,864.0,7
Global Warming,7,170.0,7
Travel and Vacations,7,444.0,7
Restaurants,7,310.0,7
Stocks and Bonds,7,414.0,7
Basketball,7,209.0,7
Tests (Medical),7,457.0,7
Pop and Rock Music,7,214.0,7
New York City,7,609.0,7
Olympic Games (2020),7,129.0,7
Fashion and Apparel,7,231.0,7
Soccer,7,126.0,7
Women and Girls,7,429.0,7
Deaths (Obituaries),7,735.0,7
Dancing,7,120.0,7
China,7,267.0,7
Football,7,118.0,7
AIRLINES AND AIRPLANES,7,176.0,7
Classical Music,7,148.0,7
United States Defense and Military Forces,7,207.0,7
Music,7,285.0,7
Baseball,7,138.0,7
Computers and the Internet,7,410.0,7
Social Media,7,419.0,7
Paid Time Off,7,157.0,7
United States International Relations,7,210.0,7
Basketball (College),7,91.0,7
Health Insurance and Managed Care,7,91.0,7
Primaries and Caucuses,7,1901.0,7
"Murders, Attempted Murders and Homicides",7,89.0,7
Colleges and Universities,7,221.0,7
Museums,7,276.0,7
Oil (Petroleum) and Gasoline,7,80.0,7
Immigration and Emigration,7,171.0,7
Love (Emotion),7,77.0,7
Crossword Puzzles,7,76.0,7
Russia,7,76.0,7
Masks,7,221.0,7
Layoffs and Job Reductions,7,290.0,7
Documentary Films and Programs,7,117.0,7
Black People,7,273.0,7
Iran,7,67.0,7
"Warren, Elizabeth",7,65.0,7
Illegal Immigration,7,114.0,7
Children and Childhood,7,271.0,7
Anxiety and Stress,7,117.0,7
Parenting,7,215.0,7
Prisons and Prisoners,7,62.0,7
Jews and Judaism,7,62.0,7
ABORTION,7,62.0,7
Exercise,7,61.0,7
your-feed-science,7,60.0,7
Travel Warnings,7,218.0,7
Mortgages,7,58.0,7
Economic Conditions and Trends,7,200.0,7
News and News Media,7,177.0,7
Discrimination,7,186.0,7
Cruises,7,55.0,7
Shortages,7,172.0,7
Defense and Military Forces,7,104.0,7
Animal Behavior,7,48.0,7
Opera,7,128.0,7
Drugs (Pharmaceuticals),7,96.0,7
