Category: All categories,,,
,,,
Day,Protest: (United States),Riot: (United States),Coronavirus: (United States)
3/1/2020,<1,<1,18
3/2/2020,<1,<1,26
3/3/2020,<1,<1,26
3/4/2020,1,<1,25
3/5/2020,<1,<1,29
3/6/2020,<1,<1,30
3/7/2020,<1,<1,31
3/8/2020,<1,<1,30
3/9/2020,<1,<1,37
3/10/2020,<1,<1,45
3/11/2020,<1,<1,57
3/12/2020,<1,<1,100
3/13/2020,<1,<1,89
3/14/2020,<1,<1,80
3/15/2020,<1,<1,96
3/16/2020,<1,<1,96
3/17/2020,<1,<1,87
3/18/2020,<1,<1,81
3/19/2020,<1,<1,78
3/20/2020,<1,<1,77
3/21/2020,<1,<1,73
3/22/2020,<1,<1,76
3/23/2020,<1,<1,71
3/24/2020,<1,<1,63
3/25/2020,<1,<1,60
3/26/2020,<1,<1,60
3/27/2020,<1,<1,59
3/28/2020,<1,<1,57
3/29/2020,<1,<1,55
3/30/2020,<1,<1,50
3/31/2020,<1,<1,47
4/1/2020,<1,<1,47
4/2/2020,<1,<1,45
4/3/2020,<1,<1,53
4/4/2020,<1,<1,55
4/5/2020,<1,<1,56
4/6/2020,<1,<1,54
4/7/2020,<1,<1,52
4/8/2020,<1,<1,48
4/9/2020,<1,<1,45
4/10/2020,<1,<1,42
4/11/2020,<1,<1,34
4/12/2020,<1,<1,29
4/13/2020,<1,<1,38
4/14/2020,<1,<1,41
4/15/2020,1,<1,39
4/16/2020,1,<1,38
4/17/2020,1,<1,37
4/18/2020,1,<1,38
4/19/2020,1,<1,27
4/20/2020,1,<1,32
4/21/2020,1,<1,34
4/22/2020,1,<1,25
4/23/2020,<1,<1,30
4/24/2020,<1,<1,32
4/25/2020,<1,<1,22
4/26/2020,<1,<1,19
4/27/2020,<1,<1,19
4/28/2020,<1,<1,19
4/29/2020,<1,<1,18
4/30/2020,<1,<1,15
5/1/2020,1,<1,16
5/2/2020,1,<1,16
5/3/2020,<1,<1,17
5/4/2020,<1,<1,16
5/5/2020,<1,<1,16
5/6/2020,<1,<1,15
5/7/2020,<1,<1,15
5/8/2020,<1,<1,14
5/9/2020,<1,<1,14
5/10/2020,<1,<1,14
5/11/2020,<1,<1,15
5/12/2020,<1,<1,14
5/13/2020,<1,<1,14
5/14/2020,<1,<1,13
5/15/2020,<1,<1,13
5/16/2020,<1,<1,13
5/17/2020,<1,<1,13
5/18/2020,<1,<1,13
5/19/2020,<1,<1,11
5/20/2020,<1,<1,11
5/21/2020,<1,<1,11
5/22/2020,<1,<1,10
5/23/2020,<1,<1,10
5/24/2020,<1,<1,10
5/25/2020,<1,<1,10
5/26/2020,<1,<1,11
5/27/2020,1,<1,10
5/28/2020,2,2,9
5/29/2020,4,4,8
5/30/2020,12,8,8
5/31/2020,21,15,7
6/1/2020,18,11,8
6/2/2020,14,7,7
6/3/2020,10,4,7
6/4/2020,7,2,7
6/5/2020,6,2,7
6/6/2020,7,1,7
6/7/2020,5,1,7
6/8/2020,3,1,7
6/9/2020,2,1,7
6/10/2020,2,1,7
6/11/2020,2,1,8
6/12/2020,2,1,8
6/13/2020,2,<1,7
6/14/2020,2,1,7
6/15/2020,1,<1,8
6/16/2020,1,<1,8
6/17/2020,1,<1,8
6/18/2020,1,<1,8
6/19/2020,1,<1,8
6/20/2020,1,<1,8
6/21/2020,1,<1,8
6/22/2020,1,<1,9
6/23/2020,1,<1,9
6/24/2020,1,<1,10
6/25/2020,1,<1,10
6/26/2020,1,<1,12
6/27/2020,1,<1,11
6/28/2020,1,<1,11
6/29/2020,1,<1,11
6/30/2020,1,<1,11
7/1/2020,1,<1,11
7/2/2020,1,<1,11
7/3/2020,1,<1,10
7/4/2020,1,<1,10
7/5/2020,1,<1,10
7/6/2020,1,<1,10
7/7/2020,1,<1,10
7/8/2020,<1,<1,10
7/9/2020,<1,<1,10
7/10/2020,<1,<1,10
7/11/2020,<1,<1,10
7/12/2020,<1,<1,10
7/13/2020,<1,<1,11
7/14/2020,<1,<1,11
7/15/2020,<1,<1,10
7/16/2020,<1,<1,9
7/17/2020,<1,<1,9
7/18/2020,1,<1,8
7/19/2020,1,<1,8
7/20/2020,1,<1,8
7/21/2020,1,<1,8
7/22/2020,1,<1,8
7/23/2020,1,<1,7
7/24/2020,1,<1,7
7/25/2020,1,<1,7
7/26/2020,1,<1,7
7/27/2020,1,<1,7
7/28/2020,1,<1,7
